Timestamp,Source IP,Destination IP,Protocol,Source Port,Destination Port
2026-05-26 22:10:42,13.89.179.11,192.168.1.11,TCP,443,58656
2026-05-26 22:10:42,13.89.179.11,192.168.1.11,TCP,443,58656
2026-05-26 22:10:42,13.89.179.11,192.168.1.11,TCP,443,58656
2026-05-26 22:10:42,13.89.179.11,192.168.1.11,TCP,443,58656
2026-05-26 22:10:42,13.89.179.11,192.168.1.11,TCP,443,58656
2026-05-26 22:10:42,13.89.179.11,192.168.1.11,TCP,443,58656
2026-05-26 22:10:42,13.89.179.11,192.168.1.11,TCP,443,58656
2026-05-26 22:10:42,192.168.1.11,57.144.57.32,TCP,58079,443
2026-05-26 22:10:42,192.168.1.11,13.89.179.11,TCP,58656,443
2026-05-26 22:10:42,13.89.179.11,192.168.1.11,TCP,443,58656
2026-05-26 22:10:42,192.168.1.11,13.89.179.11,TCP,58656,443
2026-05-26 22:10:42,192.168.1.11,13.89.179.11,TCP,55224,443
2026-05-26 22:10:42,13.89.179.11,192.168.1.11,TCP,443,58656
2026-05-26 22:10:42,13.89.179.11,192.168.1.11,TCP,443,55224
2026-05-26 22:10:42,192.168.1.11,13.89.179.11,TCP,55224,443
2026-05-26 22:10:42,192.168.1.11,13.89.179.11,TCP,55224,443
2026-05-26 22:10:43,13.89.179.11,192.168.1.11,TCP,443,55224
2026-05-26 22:10:43,192.168.1.11,13.89.179.11,TCP,55224,443
2026-05-26 22:10:43,13.89.179.11,192.168.1.11,TCP,443,55224
2026-05-26 22:10:43,13.89.179.11,192.168.1.11,TCP,443,55224
2026-05-26 22:10:43,13.89.179.11,192.168.1.11,TCP,443,55224
2026-05-26 22:10:43,13.89.179.11,192.168.1.11,TCP,443,55224
2026-05-26 22:10:43,13.89.179.11,192.168.1.11,TCP,443,55224
2026-05-26 22:10:43,192.168.1.11,13.89.179.11,TCP,55224,443
2026-05-26 22:10:43,192.168.1.11,13.89.179.11,TCP,55224,443
2026-05-26 22:10:43,192.168.1.11,13.89.179.11,TCP,55224,443
2026-05-26 22:10:43,13.89.179.11,192.168.1.11,TCP,443,55224
2026-05-26 22:10:43,13.89.179.11,192.168.1.11,TCP,443,55224
2026-05-26 22:10:43,13.89.179.11,192.168.1.11,TCP,443,55224
2026-05-26 22:10:43,192.168.1.11,13.89.179.11,TCP,55224,443
2026-05-26 22:10:43,192.168.1.11,13.89.179.11,TCP,55224,443
2026-05-26 22:10:43,192.168.1.11,13.89.179.11,TCP,55224,443
2026-05-26 22:10:44,192.168.1.2,224.0.0.22,Other,N/A,N/A
2026-05-26 22:10:44,192.168.1.11,13.89.179.11,TCP,55224,443
2026-05-26 22:10:44,192.168.1.1,239.255.255.250,Other,N/A,N/A
2026-05-26 22:10:44,192.168.1.11,224.0.0.22,Other,N/A,N/A
2026-05-26 22:10:45,192.168.1.11,13.89.179.11,TCP,55224,443
2026-05-26 22:10:46,192.168.1.11,13.89.179.11,TCP,55224,443
2026-05-26 22:10:47,192.168.1.1,239.255.255.250,Other,N/A,N/A
2026-05-26 22:10:47,192.168.1.2,224.0.0.22,Other,N/A,N/A
2026-05-26 22:10:47,192.168.1.11,224.0.0.22,Other,N/A,N/A
2026-05-26 22:10:48,192.168.1.11,13.89.179.11,TCP,55224,443
2026-05-26 22:10:50,192.168.1.1,239.255.255.250,Other,N/A,N/A
2026-05-26 22:10:50,192.168.1.2,224.0.0.22,Other,N/A,N/A
2026-05-26 22:10:50,192.168.1.11,224.0.0.22,Other,N/A,N/A
2026-05-26 22:10:51,57.144.57.32,192.168.1.11,TCP,443,58079
2026-05-26 22:10:51,192.168.1.11,57.144.57.32,TCP,58079,443
2026-05-26 22:10:51,192.168.1.11,57.144.57.32,TCP,58079,443
2026-05-26 22:10:51,57.144.57.32,192.168.1.11,TCP,443,58079
2026-05-26 22:10:53,192.168.1.11,13.89.179.11,TCP,55224,443
2026-05-26 22:10:53,192.168.1.2,224.0.0.22,Other,N/A,N/A
2026-05-26 22:10:53,192.168.1.1,239.255.255.250,Other,N/A,N/A
2026-05-26 22:10:53,192.168.1.11,224.0.0.22,Other,N/A,N/A
2026-05-26 22:10:55,192.168.1.1,224.0.0.1,Other,N/A,N/A
2026-05-26 22:10:55,192.168.1.11,224.0.0.22,Other,N/A,N/A
2026-05-26 22:10:55,192.168.1.2,224.0.0.22,Other,N/A,N/A
2026-05-26 22:10:56,192.168.1.1,239.255.255.250,Other,N/A,N/A
2026-05-26 22:10:56,192.168.1.2,224.0.0.22,Other,N/A,N/A
2026-05-26 22:10:56,192.168.1.11,224.0.0.22,Other,N/A,N/A
2026-05-26 22:10:59,192.168.1.1,239.255.255.250,Other,N/A,N/A
2026-05-26 22:10:59,192.168.1.2,224.0.0.22,Other,N/A,N/A
2026-05-26 22:10:59,192.168.1.11,224.0.0.22,Other,N/A,N/A
2026-05-26 22:11:00,57.144.57.32,192.168.1.11,TCP,443,58079
2026-05-26 22:11:00,192.168.1.11,57.144.57.32,TCP,58079,443
2026-05-26 22:11:00,192.168.1.11,57.144.57.32,TCP,58079,443
2026-05-26 22:11:00,57.144.57.32,192.168.1.11,TCP,443,58079
2026-05-26 22:11:02,192.168.1.1,239.255.255.250,Other,N/A,N/A
2026-05-26 22:11:02,192.168.1.2,224.0.0.22,Other,N/A,N/A
2026-05-26 22:11:02,192.168.1.11,13.89.179.11,TCP,55224,443
2026-05-26 22:11:02,192.168.1.11,224.0.0.22,Other,N/A,N/A
2026-05-26 22:11:03,192.168.1.11,57.144.57.32,TCP,58079,443
2026-05-26 22:11:03,57.144.57.32,192.168.1.11,TCP,443,58079
2026-05-26 22:11:04,57.144.57.32,192.168.1.11,TCP,443,58079
2026-05-26 22:11:04,57.144.57.32,192.168.1.11,TCP,443,58079
2026-05-26 22:11:04,192.168.1.11,57.144.57.32,TCP,58079,443
2026-05-26 22:11:04,192.168.1.11,57.144.57.32,TCP,58079,443
2026-05-26 22:11:04,57.144.57.32,192.168.1.11,TCP,443,58079
2026-05-26 22:11:04,192.168.1.11,13.89.179.11,TCP,55223,443
2026-05-26 22:11:04,13.89.179.11,192.168.1.11,TCP,443,55223
2026-05-26 22:11:05,192.168.1.1,239.255.255.250,Other,N/A,N/A
2026-05-26 22:11:05,192.168.1.2,224.0.0.22,Other,N/A,N/A
2026-05-26 22:11:05,57.144.57.32,192.168.1.11,TCP,443,58079
2026-05-26 22:11:05,192.168.1.11,57.144.57.32,TCP,58079,443
2026-05-26 22:11:05,57.144.57.32,192.168.1.11,TCP,443,58079
2026-05-26 22:11:05,192.168.1.11,224.0.0.22,Other,N/A,N/A
2026-05-26 22:11:05,192.168.1.1,224.0.0.1,Other,N/A,N/A
2026-05-26 22:11:08,192.168.1.11,224.0.0.22,Other,N/A,N/A
2026-05-26 22:11:08,192.168.1.1,239.255.255.250,Other,N/A,N/A
2026-05-26 22:11:08,192.168.1.2,224.0.0.22,Other,N/A,N/A
2026-05-26 22:11:08,192.168.1.11,224.0.0.22,Other,N/A,N/A
